year,company,car_name,km_driven,fuel_type,transmission,price,location
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,36355,Petrol,Manual,₹4.14 Lakh,Ahmedabad
2015,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,46203,Petrol,Manual,₹4.31 Lakh,Ahmedabad
2022,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,35515,Petrol,Automatic,₹9.64 Lakh,Ahmedabad
2022,Tata,ALTROZ XZ PLUS PETROL,19326,Petrol,Manual,₹8.24 Lakh,Ahmedabad
2014,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,95213,Petrol,Manual,₹3.63 Lakh,Ahmedabad
2018,Hyundai,New Elantra 2.0 SX (O) AT,83195,Petrol,Automatic,₹11.02 Lakh,Ahmedabad
2013,Hyundai,i10 MAGNA 1.1,88118,Petrol,Manual,₹2.75 Lakh,Ahmedabad
2022,KIA,CARENS PRESTIGE PLUS 1.4 PETROL 7 STR,33408,Petrol,Manual,₹12.53 Lakh,Ahmedabad
2014,Hyundai,i20 ASTA 1.2,64275,Petrol,Manual,₹4.12 Lakh,Ahmedabad
2018,Maruti,IGNIS DELTA 1.2,94910,Petrol,Manual,₹4.33 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,30295,Petrol,Manual,₹4.28 Lakh,Ahmedabad
2022,KIA,SONET HTK PLUS 1.0 IMT,22608,Petrol,Manual,₹9.18 Lakh,Ahmedabad
2023,Hyundai,NEW I20 ASTA (O) 1.2 AT,8123,Petrol,Automatic,₹10.57 Lakh,Ahmedabad
2016,Hyundai,Elite i20 MAGNA 1.2,98208,Petrol,Manual,₹5.21 Lakh,Ahmedabad
2021,Maruti,Baleno ZETA PETROL 1.2,24719,Petrol,Manual,₹6.99 Lakh,Ahmedabad
2017,Honda,WR-V 1.5L I-DTEC VX MT,106245,Diesel,Manual,₹6.18 Lakh,Ahmedabad
2019,Maruti,New Wagon-R VXI 1.2 AMT,27734,Petrol,Automatic,₹4.89 Lakh,Ahmedabad
2019,Renault,TRIBER RXZ,72909,Petrol,Manual,₹5.23 Lakh,Ahmedabad
2022,Tata,NEXON XZ PLUS (O) DIESEL DARK EDITION,26493,Diesel,Manual,₹11.69 Lakh,Ahmedabad
2022,MG,HECTOR SHARP HYBRID 1.5 PETROL,79007,Petrol,Manual,₹13.85 Lakh,Ahmedabad
2020,Maruti,Alto VXI,32946,Petrol,Manual,₹3.68 Lakh,Ahmedabad
2017,Maruti,Dzire VDI,70959,Diesel,Manual,₹6.13 Lakh,Ahmedabad
2014,Honda,Brio S MT,64049,Petrol,Manual,₹3.34 Lakh,Ahmedabad
2016,Maruti,Ciaz ZXI+ RS,40789,Petrol,Manual,₹6.65 Lakh,Ahmedabad
2018,Honda,WR-V 1.2L I-VTEC VX MT,33344,Petrol,Manual,₹7.36 Lakh,Ahmedabad
2021,Tata,PUNCH CREATIVE IRA 1.2 RTN DUAL TONE,45950,Petrol,Manual,₹7.19 Lakh,Ahmedabad
2018,Ford,FREESTYLE TITANIUM 1.2 PETROL,122377,Petrol,Manual,₹4.43 Lakh,Ahmedabad
2021,Tata,NEXON XMA SUNROOF PETROL,34679,CNG,Automatic,₹9.13 Lakh,Ahmedabad
2016,Ford,Ecosport TITANIUM 1.5L PETROL AT,94230,Petrol,Automatic,₹5.27 Lakh,Ahmedabad
2017,Maruti,Alto 800 LXI,35703,Petrol,Manual,₹2.80 Lakh,Ahmedabad
2017,Jeep,Compass LIMITED 1.4 PETROL AT,108189,Petrol,Automatic,₹9.15 Lakh,Ahmedabad
2021,Tata,Tiago XZA PLUS PETROL,29340,Petrol,Automatic,₹6.34 Lakh,Ahmedabad
2021,Honda,City 1.5L I-VTEC ZX,38302,Petrol,Manual,₹11.32 Lakh,Ahmedabad
2019,Honda,Amaze 1.2L I-VTEC S,48876,Petrol,Manual,₹5.81 Lakh,Ahmedabad
2022,Tata,NEXON XZ PLUS (PREMIUM) KAZIRANGA PETROL,19112,Petrol,Manual,₹10.47 Lakh,Ahmedabad
2015,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,62250,Petrol,Manual,₹4.10 Lakh,Ahmedabad
2017,Maruti,IGNIS SIGMA 1.2,51758,Petrol,Manual,₹3.93 Lakh,Ahmedabad
2018,Honda,Amaze 1.2L I-VTEC S,86432,Petrol,Manual,₹5.27 Lakh,Ahmedabad
